no,id_resep,nama_resep,daftar_bahan,waktu_masak,kategori,list_bahan,list_bahan_stem,list_bahan_norm,waktu_norm,kategori_list,kategori_norm
1,R0001,sambal goreng kentang ati ampela,"hati ayam,ampela ayam,kentang,jeruk nipis,daun salam,daun jeruk,lengkuas,bawang merah,bawang putih,serai,buah cabai,kemiri,garam,gula,penyedap rasa",90,"ayam,makanan rumah,olahan pedas dan sambal","['hati ayam', 'ampela ayam', 'kentang', 'jeruk nipis', 'daun salam', 'daun jeruk', 'lengkuas', 'bawang merah', 'bawang putih', 'serai', 'buah cabai', 'kemiri', 'garam', 'gula', 'penyedap rasa']","['hati ayam', 'ampela ayam', 'kentang', 'jeruk nipis', 'daun salam', 'daun jeruk', 'lengkuas', 'bawang merah', 'bawang putih', 'serai', 'buah cabai', 'kemiri', 'garam', 'gula', 'sedap rasa']","['hati ayam', 'ampela ayam', 'kentang', 'jeruk nipis', 'daun salam', 'daun jeruk', 'lengkuas', 'bawang merah', 'bawang putih', 'serai', 'buah cabai', 'kemiri', 'garam', 'gula', 'sedap rasa']",90,"['ayam', 'makanan rumah', 'olahan pedas dan sambal']","['ayam', 'makanan rumahan', 'olahan pedas & sambal']"
2,R0002,tumis kangkung terasi pedas,"kangkung,bawang merah,terasi udang,gula pasir,garam,kaldu bubuk,saus tiram,minyak ikan,bawang putih,cabai merah keriting,cabai rawit merah,tomat",30,"sayur tumis,makanan rumahan,olahan pedas dan sambal","['kangkung', 'bawang merah', 'terasi udang', 'gula pasir', 'garam', 'kaldu bubuk', 'saus tiram', 'minyak ikan', 'bawang putih', 'cabai merah keriting', 'cabai rawit merah', 'tomat']","['kangkung', 'bawang merah', 'terasi udang', 'gula pasir', 'garam', 'kaldu bubuk', 'saus tiram', 'minyak ikan', 'bawang putih', 'cabai merah keriting', 'cabai rawit merah', 'tomat']","['kangkung', 'bawang merah', 'terasi udang', 'gula pasir', 'garam', 'kaldu bubuk', 'saus tiram', 'minyak ikan', 'bawang putih', 'cabai keriting', 'cabai rawit', 'tomat']",30,"['sayur tumis', 'makanan rumahan', 'olahan pedas dan sambal']","['sayur tumis', 'makanan rumahan', 'olahan pedas & sambal']"
3,R0003,udang balado,"udang,kentang,petai,bawang bombay,tomat,daun salam,daun jeruk,kaldu bubuk,garam,gula pasir,air,bawang merah,bawang putih,cabai merah,cabai merah keriting,kunyit,jahe,ketumbar bubuk,kemiri,serai,lengkuas,minyak",45,"ikan dan seafood,makanan rumahan,olahan pedas dan sambal","['udang', 'kentang', 'petai', 'bawang bombay', 'tomat', 'daun salam', 'daun jeruk', 'kaldu bubuk', 'garam', 'gula pasir', 'air', 'bawang merah', 'bawang putih', 'cabai merah', 'cabai merah keriting', 'kunyit', 'jahe', 'ketumbar bubuk', 'kemiri', 'serai', 'lengkuas', 'minyak']","['udang', 'kentang', 'petai', 'bawang bombay', 'tomat', 'daun salam', 'daun jeruk', 'kaldu bubuk', 'garam', 'gula pasir', 'air', 'bawang merah', 'bawang putih', 'cabai merah', 'cabai merah keriting', 'kunyit', 'jahe', 'ketumbar bubuk', 'kemiri', 'serai', 'lengkuas', 'minyak']","['udang', 'kentang', 'petai', 'bawang bombay', 'tomat', 'daun salam', 'daun jeruk', 'kaldu bubuk', 'garam', 'gula pasir', 'air', 'bawang merah', 'bawang putih', 'cabai merah', 'cabai keriting', 'kunyit', 'jahe', 'ketumbar', 'kemiri', 'serai', 'lengkuas', 'minyak']",45,"['ikan dan seafood', 'makanan rumahan', 'olahan pedas dan sambal']","['ikan & seafood', 'makanan rumahan', 'olahan pedas & sambal']"
4,R0004,korean spicy chicken wings,"sayap ayam,minyak goreng,jeruk nipis,garam,tepung maizena,tepung terigu,tepung beras,garam,kaldu bubuk,merica bubuk,saus tiram,saus tomat,saus sambal,kecap manis,minyak wijen,cabai bubuk,bawang putih,wijen",50,"ayam,olahan pedas dan sambal,camilan viral / kekinian,street food / jajanan pasar","['sayap ayam', 'minyak goreng', 'jeruk nipis', 'garam', 'tepung maizena', 'tepung terigu', 'tepung beras', 'garam', 'kaldu bubuk', 'merica bubuk', 'saus tiram', 'saus tomat', 'saus sambal', 'kecap manis', 'minyak wijen', 'cabai bubuk', 'bawang putih', 'wijen']","['sayap ayam', 'minyak goreng', 'jeruk nipis', 'garam', 'tepung maizena', 'tepung terigu', 'tepung beras', 'garam', 'kaldu bubuk', 'merica bubuk', 'saus tiram', 'saus tomat', 'saus sambal', 'kecap manis', 'minyak wijen', 'cabai bubuk', 'bawang putih', 'wijen']","['sayap ayam', 'minyak goreng', 'jeruk nipis', 'garam', 'tepung maizena', 'tepung terigu', 'tepung beras', 'garam', 'kaldu bubuk', 'merica', 'saus tiram', 'saus tomat', 'saus sambal', 'kecap manis', 'minyak wijen', 'cabai bubuk', 'bawang putih', 'wijen']",50,"['ayam', 'olahan pedas dan sambal', 'camilan viral / kekinian', 'street food / jajanan pasar']","['ayam', 'olahan pedas & sambal', 'camilan viral/kekinian', 'street food/jajanan pasar']"
5,R0005,rica - rica ayam,"ayam,cabai merah keriting,cabai rawit,bawang merah,bawang putih,tomat,kemangi,serai,jahe,lengkuas,daun jeruk,gula pasir,garam,minyak,air",60,"ayam,makanan rumah,olahan pedas dan sambal","['ayam', 'cabai merah keriting', 'cabai rawit', 'bawang merah', 'bawang putih', 'tomat', 'kemangi', 'serai', 'jahe', 'lengkuas', 'daun jeruk', 'gula pasir', 'garam', 'minyak', 'air']","['ayam', 'cabai merah keriting', 'cabai rawit', 'bawang merah', 'bawang putih', 'tomat', 'kemangi', 'serai', 'jahe', 'lengkuas', 'daun jeruk', 'gula pasir', 'garam', 'minyak', 'air']","['ayam', 'cabai keriting', 'cabai rawit', 'bawang merah', 'bawang putih', 'tomat', 'kemangi', 'serai', 'jahe', 'lengkuas', 'daun jeruk', 'gula pasir', 'garam', 'minyak', 'air']",60,"['ayam', 'makanan rumah', 'olahan pedas dan sambal']","['ayam', 'makanan rumahan', 'olahan pedas & sambal']"
6,R0006,sup tahu kimchi korea,"telur,tahu putih,bawang putih,gochujang,air,jamur enoki,lada bubuk,kaldu jamur,cabai merah ,cabai hijau,daun bawang,minyak wijen,cabai rawit,udang kupas,kimchi",30,"sup dan kuah,telur,ikan dan seafood,camilan viral / kekinian","['telur', 'tahu putih', 'bawang putih', 'gochujang', 'air', 'jamur enoki', 'lada bubuk', 'kaldu jamur', 'cabai merah', 'cabai hijau', 'daun bawang', 'minyak wijen', 'cabai rawit', 'udang kupas', 'kimchi']","['telur', 'tahu putih', 'bawang putih', 'gochujang', 'air', 'jamur enoki', 'lada bubuk', 'kaldu jamur', 'cabai merah', 'cabai hijau', 'daun bawang', 'minyak wijen', 'cabai rawit', 'udang kupas', 'kimchi']","['telur', 'tahu putih', 'bawang putih', 'gochujang', 'air', 'jamur enoki', 'lada', 'kaldu jamur', 'cabai merah', 'cabai hijau', 'bawang daun', 'minyak wijen', 'cabai rawit', 'udang kupas', 'kimchi']",30,"['sup dan kuah', 'telur', 'ikan dan seafood', 'camilan viral / kekinian']","['sup & kuah', 'telur', 'ikan & seafood', 'camilan viral/kekinian']"
7,R0007,tangsuyuk,"daging sapi,lada bubuk,garam,kecap asin,tepung maizena,air,telur,bawang putih,bawang bombay,wortel,timun,paprika merah,paprika hijau,gula pasir,kecap asin,cuka,saus tomat,maizena,garam",75,"daging sapi,camilan viral / kekinian,street food / jajanan pasar","['daging sapi', 'lada bubuk', 'garam', 'kecap asin', 'tepung maizena', 'air', 'telur', 'bawang putih', 'bawang bombay', 'wortel', 'timun', 'paprika merah', 'paprika hijau', 'gula pasir', 'kecap asin', 'cuka', 'saus tomat', 'maizena', 'garam']","['daging sapi', 'lada bubuk', 'garam', 'kecap asin', 'tepung maizena', 'air', 'telur', 'bawang putih', 'bawang bombay', 'wortel', 'timun', 'paprika merah', 'paprika hijau', 'gula pasir', 'kecap asin', 'cuka', 'saus tomat', 'maizena', 'garam']","['daging sapi', 'lada', 'garam', 'kecap asin', 'tepung maizena', 'air', 'telur', 'bawang putih', 'bawang bombay', 'wortel', 'timun', 'paprika merah', 'paprika hijau', 'gula pasir', 'kecap asin', 'cuka', 'saus tomat', 'maizena', 'garam']",75,"['daging sapi', 'camilan viral / kekinian', 'street food / jajanan pasar']","['daging sapi', 'camilan viral/kekinian', 'street food/jajanan pasar']"
8,R0008,steak ayam,"dada ayam,paprika bubuk,bawang bubuk,garam,tepung terigu,telur,garam,bawang putih,paprika bubuk,kecap inggris,kecap asin,saus tomat,saus cabe,kecap manis,garam,kaldu bubuk,gula,kaldu bubuk,bawang putih,bawang bombay,maizena",40,"ayam,makanan rumah,camilan viral / kekinian","['dada ayam', 'paprika bubuk', 'bawang bubuk', 'garam', 'tepung terigu', 'telur', 'garam', 'bawang putih', 'paprika bubuk', 'kecap inggris', 'kecap asin', 'saus tomat', 'saus cabe', 'kecap manis', 'garam', 'kaldu bubuk', 'gula', 'kaldu bubuk', 'bawang putih', 'bawang bombay', 'maizena']","['dada ayam', 'paprika bubuk', 'bawang bubuk', 'garam', 'tepung terigu', 'telur', 'garam', 'bawang putih', 'paprika bubuk', 'kecap inggris', 'kecap asin', 'saus tomat', 'saus cabe', 'kecap manis', 'garam', 'kaldu bubuk', 'gula', 'kaldu bubuk', 'bawang putih', 'bawang bombay', 'maizena']","['dada ayam', 'paprika bubuk', 'bawang bubuk', 'garam', 'tepung terigu', 'telur', 'garam', 'bawang putih', 'paprika bubuk', 'kecap inggris', 'kecap asin', 'saus tomat', 'saus cabe', 'kecap manis', 'garam', 'kaldu bubuk', 'gula', 'kaldu bubuk', 'bawang putih', 'bawang bombay', 'maizena']",40,"['ayam', 'makanan rumah', 'camilan viral / kekinian']","['ayam', 'makanan rumahan', 'camilan viral/kekinian']"
9,R0009,semur jengkol,"jengkol,air,daun pandan,daun salam,bawang merah,bawang putih,ketumbar,lada bubuk,bubuk kunyit,kaldu jamur,garam,gula merah,air asam jawa,kecap manis,serai,lengkuas",60,"sayur tumis,makanan rumahan","['jengkol', 'air', 'daun pandan', 'daun salam', 'bawang merah', 'bawang putih', 'ketumbar', 'lada bubuk', 'bubuk kunyit', 'kaldu jamur', 'garam', 'gula merah', 'air asam jawa', 'kecap manis', 'serai', 'lengkuas']","['jengkol', 'air', 'daun pandan', 'daun salam', 'bawang merah', 'bawang putih', 'ketumbar', 'lada bubuk', 'bubuk kunyit', 'kaldu jamur', 'garam', 'gula merah', 'air asam jawa', 'kecap manis', 'serai', 'lengkuas']","['jengkol', 'air', 'daun pandan', 'daun salam', 'bawang merah', 'bawang putih', 'ketumbar', 'lada', 'kunyit', 'kaldu jamur', 'garam', 'gula merah', 'asam jawa', 'kecap manis', 'serai', 'lengkuas']",60,"['sayur tumis', 'makanan rumahan']","['sayur tumis', 'makanan rumahan']"
10,R0010,rendang nangka jengkol,"nangka,jengkol,daging ayam,bawang putih,bawang merah,fiber creme,gula pasir,garam,bumbu kaldu,air,minyak,cabai merah,bawang putih,bawang merah,serai,merica bubuk,ketumbar,kemiri,jahe,lengkuas,jinten,pala",70,"sayur tumis,makanan rumahan","['nangka', 'jengkol', 'daging ayam', 'bawang putih', 'bawang merah', 'fiber creme', 'gula pasir', 'garam', 'bumbu kaldu', 'air', 'minyak', 'cabai merah', 'bawang putih', 'bawang merah', 'serai', 'merica bubuk', 'ketumbar', 'kemiri', 'jahe', 'lengkuas', 'jinten', 'pala']","['nangka', 'jengkol', 'daging ayam', 'bawang putih', 'bawang merah', 'fiber creme', 'gula pasir', 'garam', 'bumbu kaldu', 'air', 'minyak', 'cabai merah', 'bawang putih', 'bawang merah', 'serai', 'merica bubuk', 'ketumbar', 'kemiri', 'jahe', 'lengkuas', 'jinten', 'pala']","['nangka', 'jengkol', 'daging ayam', 'bawang putih', 'bawang merah', 'fiber creme', 'gula pasir', 'garam', 'bumbu kaldu', 'air', 'minyak', 'cabai merah', 'bawang putih', 'bawang merah', 'serai', 'merica', 'ketumbar', 'kemiri', 'jahe', 'lengkuas', 'jinten', 'pala']",70,"['sayur tumis', 'makanan rumahan']","['sayur tumis', 'makanan rumahan']"
