no,id_resep,nama_resep,daftar_bahan,waktu_masak,kategori,step_masak,gambar,link asli,list_bahan,list_bahan_stem,list_bahan_norm,waktu_norm,kategori_list,kategori_norm
1,R0001,sambal goreng kentang ati ampela,"hati ayam,ampela ayam,kentang,jeruk nipis,daun salam,daun jeruk,lengkuas,bawang merah,bawang putih,serai,buah cabai,kemiri,garam,gula,penyedap rasa",90,"ayam,makanan rumah,olahan pedas dan sambal","1. Cuci bersih ati ampela dengan perasan jeruk nipis dan garam. Diamkan beberapa saat;2. Kupas dan potong kentang bentuk dadu, rendam di air garam, kemudian goreng. Sisihkan.;3. Rebus ati ampela dengan air, tambahkan daun salam dan 1 bawang putih geprek, jika sudah matang tiriskan dan potong². Sisihkan.;4. Haluskan cabe merah, kemiri, bawang merah, dan bawang putih. Kemudian tumis bumbu tersebut, tambahkan daun salam, daun jeruk, lengkuas, dan serai. Tambahkan gula dan garam secukupnya.;5. Masukkan ati ampela, aduk rata, masukkan kentang dan sedikit air. Koreksi rasa, biarkan hingga air mengering.;6. Sambal kentang ati ampela siap disajikan.",https://img-global.cpcdn.com/recipes/d3b3972bd92ed18f/680x781f0.5_0.577343_1.0q80/sambal-goreng-kentang-ati-ampela-foto-resep-utama.webp,https://cookpad.com/id/resep/25719773,"['hati ayam', 'ampela ayam', 'kentang', 'jeruk nipis', 'daun salam', 'daun jeruk', 'lengkuas', 'bawang merah', 'bawang putih', 'serai', 'buah cabai', 'kemiri', 'garam', 'gula', 'penyedap rasa']","['hati ayam', 'ampela ayam', 'kentang', 'jeruk nipis', 'daun salam', 'daun jeruk', 'lengkuas', 'bawang merah', 'bawang putih', 'serai', 'buah cabai', 'kemiri', 'garam', 'gula', 'sedap rasa']","['hati ayam', 'ampela ayam', 'kentang', 'jeruk nipis', 'salam', 'daun jeruk', 'lengkuas', 'bawang merah', 'bawang putih', 'serai', 'buah cabai', 'kemiri', 'garam', 'gula', 'sedap rasa']",90,"['ayam', 'makanan rumah', 'olahan pedas dan sambal']","['ayam', 'makanan rumahan', 'olahan pedas & sambal']"
2,R0002,tumis kangkung terasi pedas,"kangkung,bawang merah,terasi udang,gula pasir,garam,kaldu bubuk,saus tiram,minyak ikan,bawang putih,cabai merah keriting,cabai rawit merah,tomat",30,"sayur tumis,makanan rumahan,olahan pedas dan sambal","1. Siapkan bahan dan bumbu, yang dihaluskan dan yang diiris halus.;2. Tumis bawang merah hingga kecokelatan. Tuang bumbu halus, masak hingga harum.;3. Masukkan kangkung, beri sedikit air, aduk rata.;4. Tambahkan garam, gula, lada, kaldu bubuk, saus tiram, aduk rata. Koreksi rasa.;5. Tumis kangkung terasi pedas ala resto siap disajikan.",https://img-global.cpcdn.com/recipes/cc9f61c5e3e481da/680x781f0.5_0.5_1.0q80/tumis-kangkung-terasi-pedas-foto-resep-utama.webp,https://cookpad.com/id/resep/25701970,"['kangkung', 'bawang merah', 'terasi udang', 'gula pasir', 'garam', 'kaldu bubuk', 'saus tiram', 'minyak ikan', 'bawang putih', 'cabai merah keriting', 'cabai rawit merah', 'tomat']","['kangkung', 'bawang merah', 'terasi udang', 'gula pasir', 'garam', 'kaldu bubuk', 'saus tiram', 'minyak ikan', 'bawang putih', 'cabai merah keriting', 'cabai rawit merah', 'tomat']","['kangkung', 'bawang merah', 'terasi udang', 'gula pasir', 'garam', 'kaldu ayam', 'saus tiram', 'minyak ikan', 'bawang putih', 'cabai keriting', 'cabai rawit', 'tomat']",30,"['sayur tumis', 'makanan rumahan', 'olahan pedas dan sambal']","['sayur tumis', 'makanan rumahan', 'olahan pedas & sambal']"
3,R0003,udang balado,"udang,kentang,petai,bawang bombay,tomat,daun salam,daun jeruk,kaldu bubuk,garam,gula pasir,air,bawang merah,bawang putih,cabai merah,cabai merah keriting,kunyit,jahe,ketumbar bubuk,kemiri,serai,lengkuas,minyak",45,"ikan dan seafood,makanan rumahan,olahan pedas dan sambal","1. Bismillah,,, awal mengolah udang terlebih dahulu dengan menyangrai untuk menghilangkan kandungan air dalam udang, gorah galeh hingga air nya hilang dan udang berubah warna... Sisihkan.;2. Kupas kentang lalu potong dadu lalu cuci bersih, goreng hingga agak kering lanjut masukkan petai, masak sesaat lalu angkat dan sisihkan.;3. Haluskan bumbu menggunakan blender atau chopper;4. Lanjut tumis bumbu hingga wangi dan agak tanak... Masukkan semua bahan bumbu cemplung.;5. Masak tomat hingga layu atau menyatu dengan bumbu, test rasa bumbu jika dirasa pas, lanjut masukkan udang yang sudah disangrai.;6. Aduk rata,,, lanjut tuang kentang dan petai, aduk rata... Setelah itu angkat....konsumsi selagi hangatt dengan nasi putih hangat...🥰 Hmmm maknyuss... 😘",https://img-global.cpcdn.com/recipes/7ecfa4b626e39533/680x781f0.5_0.5_1.0q80/udang-balado-foto-resep-utama.webp,https://cookpad.com/id/resep/25712337,"['udang', 'kentang', 'petai', 'bawang bombay', 'tomat', 'daun salam', 'daun jeruk', 'kaldu bubuk', 'garam', 'gula pasir', 'air', 'bawang merah', 'bawang putih', 'cabai merah', 'cabai merah keriting', 'kunyit', 'jahe', 'ketumbar bubuk', 'kemiri', 'serai', 'lengkuas', 'minyak']","['udang', 'kentang', 'petai', 'bawang bombay', 'tomat', 'daun salam', 'daun jeruk', 'kaldu bubuk', 'garam', 'gula pasir', 'air', 'bawang merah', 'bawang putih', 'cabai merah', 'cabai merah keriting', 'kunyit', 'jahe', 'ketumbar bubuk', 'kemiri', 'serai', 'lengkuas', 'minyak']","['udang', 'kentang', 'petai', 'bawang bombay', 'tomat', 'salam', 'daun jeruk', 'kaldu ayam', 'garam', 'gula pasir', 'air', 'bawang merah', 'bawang putih', 'cabai merah', 'cabai keriting', 'kunyit', 'jahe', 'ketumbar', 'kemiri', 'serai', 'lengkuas', 'minyak']",45,"['ikan dan seafood', 'makanan rumahan', 'olahan pedas dan sambal']","['ikan & seafood', 'makanan rumahan', 'olahan pedas & sambal']"
4,R0004,korean spicy chicken wings,"sayap ayam,minyak goreng,jeruk nipis,garam,tepung maizena,tepung terigu,tepung beras,garam,kaldu bubuk,merica bubuk,saus tiram,saus tomat,saus sambal,kecap manis,minyak wijen,cabai bubuk,bawang putih,wijen",50,"ayam,olahan pedas dan sambal,camilan viral / kekinian,street food / jajanan pasar","1. Cuci bersih ayam, potong jadi 2 bagian. Kucuri dengan air jeruk nipis dan garam. Aduk rata dan diamkan 20 menit. Lalu bilas ayam, tiriskan. Dalam sebuah wadah, campur bahan pelapis dan aduk merata. Gulingkan ayam pada bahan pelapis, balur secara merata.;2. Panaskan minyak, tepuk-tepuk ayam di pinggiran wadah agar tepung yang tidak menempel luruh lalu masukkan ke dalam minyak panas. Goreng dengan api kecil sampai ayam matang merata. Angkat dan tiriskan minyak. Sisihkan dulu.;3. Siapkan wadah, masukkan semua bahan saus kecuali bawang putih dan wijen sangrai. Panaskan minyak, tumis bawang putih cincang hingga matang dan wangi. Tuang bawang putih goreng lengkap dengan minyaknya ke wadah saus tadi. Aduk rata.;4. Celupkan ayam goreng ke saus, balur merata pada setiap potongan ayam hingga selesai. Tata di piring saji, taburi dengan wijen sangrai. Enjoyy..😘😘",https://img-global.cpcdn.com/recipes/1cc6370b92c4365b/680x781f0.5_0.577558_1.0q80/korean-spicy-chicken-wings-foto-resep-utama.webp,https://cookpad.com/id/resep/25715540,"['sayap ayam', 'minyak goreng', 'jeruk nipis', 'garam', 'tepung maizena', 'tepung terigu', 'tepung beras', 'garam', 'kaldu bubuk', 'merica bubuk', 'saus tiram', 'saus tomat', 'saus sambal', 'kecap manis', 'minyak wijen', 'cabai bubuk', 'bawang putih', 'wijen']","['sayap ayam', 'minyak goreng', 'jeruk nipis', 'garam', 'tepung maizena', 'tepung terigu', 'tepung beras', 'garam', 'kaldu bubuk', 'merica bubuk', 'saus tiram', 'saus tomat', 'saus sambal', 'kecap manis', 'minyak wijen', 'cabai bubuk', 'bawang putih', 'wijen']","['sayap ayam', 'minyak goreng', 'jeruk nipis', 'garam', 'maizena', 'tepung terigu', 'tepung beras', 'garam', 'kaldu ayam', 'merica', 'saus tiram', 'saus tomat', 'saus sambal', 'kecap manis', 'minyak wijen', 'cabai bubuk', 'bawang putih', 'wijen']",50,"['ayam', 'olahan pedas dan sambal', 'camilan viral / kekinian', 'street food / jajanan pasar']","['ayam', 'olahan pedas & sambal', 'camilan viral/kekinian', 'street food/jajanan pasar']"
5,R0005,rica - rica ayam,"ayam,cabai merah keriting,cabai rawit,bawang merah,bawang putih,tomat,kemangi,serai,jahe,lengkuas,daun jeruk,gula pasir,garam,minyak,air",60,"ayam,makanan rumah,olahan pedas dan sambal","1. Blender/ ulek kasar bawang merah, bawang putih, tomat, cabai keriting, cabai rawit hingga jadi pasta bumbu. Sisihkan;2. Goreng ayam sebentar dengan sedikit minyak (jgn smpe kerendam) hingga setengah matang. Kurang lebih 5 menit. Angkat, sisihkan. Ini biar ayam kokoh saat di masak bumbu;3. Panaskan minyak, tumis bumbu halus, sereh, lengkuas, jahe, daun jeruk hingga harum dan matang. Masak hingga minyak keluar dari bumbu;4. Masukkan ayam, air, garam, gula. Aduk rata dan tutup wajan.;5. Masak dengan api sedang hingga air menyusut dan bumbu meresap. Tambahkan kemangi pas udah matang, aduk sebentar. Koreksi rasa dan sajikan panas dengan nasi.",https://img-global.cpcdn.com/recipes/ae08612b01e06c60/300x426f0.5_0.5_1.0q80/rica-rica-ayam-foto-resep-utama.webp,https://cookpad.com/id/resep/25710292,"['ayam', 'cabai merah keriting', 'cabai rawit', 'bawang merah', 'bawang putih', 'tomat', 'kemangi', 'serai', 'jahe', 'lengkuas', 'daun jeruk', 'gula pasir', 'garam', 'minyak', 'air']","['ayam', 'cabai merah keriting', 'cabai rawit', 'bawang merah', 'bawang putih', 'tomat', 'kemangi', 'serai', 'jahe', 'lengkuas', 'daun jeruk', 'gula pasir', 'garam', 'minyak', 'air']","['ayam', 'cabai keriting', 'cabai rawit', 'bawang merah', 'bawang putih', 'tomat', 'kemangi', 'serai', 'jahe', 'lengkuas', 'daun jeruk', 'gula pasir', 'garam', 'minyak', 'air']",60,"['ayam', 'makanan rumah', 'olahan pedas dan sambal']","['ayam', 'makanan rumahan', 'olahan pedas & sambal']"
6,R0006,sup tahu kimchi korea,"telur,tahu putih,bawang putih,gochujang,air,jamur enoki,lada bubuk,kaldu jamur,cabai merah ,cabai hijau,daun bawang,minyak wijen,cabai rawit,udang kupas,kimchi",30,"sup dan kuah,telur,ikan dan seafood,camilan viral / kekinian","1. Tumis bawang putih hingga harum;2. Masukkan udang tumis hingga harum;3. Masukkan telor diorak arik dan tahu;4. Lalu masukkan air dan potongan cabai, daun bawang,jamur enoki dan kimchi tunggu hingga mendidih;5. Masukkan semua bumbu seperti lada, kaldu, minyak wijen, gochujang;6. Cicip dan koreksi rasa sesuai selera",https://img-global.cpcdn.com/recipes/b4762c2bf8f4e183/680x781f0.5_0.500105_1.0q80/sup-tahu-kimchi-korea-foto-resep-utama.webp,https://cookpad.com/id/resep/25662932,"['telur', 'tahu putih', 'bawang putih', 'gochujang', 'air', 'jamur enoki', 'lada bubuk', 'kaldu jamur', 'cabai merah', 'cabai hijau', 'daun bawang', 'minyak wijen', 'cabai rawit', 'udang kupas', 'kimchi']","['telur', 'tahu putih', 'bawang putih', 'gochujang', 'air', 'jamur enoki', 'lada bubuk', 'kaldu jamur', 'cabai merah', 'cabai hijau', 'daun bawang', 'minyak wijen', 'cabai rawit', 'udang kupas', 'kimchi']","['telur', 'tahu putih', 'bawang putih', 'gochujang', 'air', 'jamur enoki', 'lada', 'kaldu jamur', 'cabai merah', 'cabai hijau', 'daun bawang', 'minyak wijen', 'cabai rawit', 'udang kupas', 'kimchi']",30,"['sup dan kuah', 'telur', 'ikan dan seafood', 'camilan viral / kekinian']","['sup & kuah', 'telur', 'ikan & seafood', 'camilan viral/kekinian']"
7,R0007,tangsuyuk,"daging sapi,lada bubuk,garam,kecap asin,tepung maizena,air,telur,bawang putih,bawang bombay,wortel,timun,paprika merah,paprika hijau,gula pasir,kecap asin,cuka,saus tomat,maizena,garam",75,"daging sapi,camilan viral / kekinian,street food / jajanan pasar","1. Siapkan bahan. Iris daging tipis memanjang, marinasi dengan lada, garam, dan kecap asin, sisihkan. Kemudian larutkan tepung maizena dengan air, kemudian diamkan hingga tepung mengendap, kemudian buang buang airnya, sisakan endapan tepungnya saja;2. Campurkan endapan tepung dan putih telur, aduk rata. Tambahkan irisan daging, kemudian goreng di minyak panas hingga kuning keemasan;3. Untuk sausnya, potong semua sayuran. Tumis bawang putih, dan semua sayuran yg sudah dipotong hingga harum;4. Masukkan saus, air, dan semua seasoning. Koreksi rasa. Kemudian tambahkan maizena yg sudah dilarutkan dengan air, masak hingga mengental, angkat;5. Hidangkan tangsuyuk dengan saus asam manis",https://img-global.cpcdn.com/recipes/fcb5b0b300a06a35/300x426f0.5_0.454991_1.0q80/tangsuyuk-foto-resep-utama.webp,https://cookpad.com/id/resep/25340668,"['daging sapi', 'lada bubuk', 'garam', 'kecap asin', 'tepung maizena', 'air', 'telur', 'bawang putih', 'bawang bombay', 'wortel', 'timun', 'paprika merah', 'paprika hijau', 'gula pasir', 'kecap asin', 'cuka', 'saus tomat', 'maizena', 'garam']","['daging sapi', 'lada bubuk', 'garam', 'kecap asin', 'tepung maizena', 'air', 'telur', 'bawang putih', 'bawang bombay', 'wortel', 'timun', 'paprika merah', 'paprika hijau', 'gula pasir', 'kecap asin', 'cuka', 'saus tomat', 'maizena', 'garam']","['daging sapi', 'lada', 'garam', 'kecap asin', 'maizena', 'air', 'telur', 'bawang putih', 'bawang bombay', 'wortel', 'timun', 'paprika merah', 'paprika hijau', 'gula pasir', 'kecap asin', 'cuka', 'saus tomat', 'maizena', 'garam']",75,"['daging sapi', 'camilan viral / kekinian', 'street food / jajanan pasar']","['daging sapi', 'camilan viral/kekinian', 'street food/jajanan pasar']"
8,R0008,steak ayam,"dada ayam,paprika bubuk,bawang bubuk,garam,tepung terigu,telur,garam,bawang putih,paprika bubuk,kecap inggris,kecap asin,saus tomat,saus cabe,kecap manis,garam,kaldu bubuk,gula,kaldu bubuk,bawang putih,bawang bombay,maizena",40,"ayam,makanan rumah,camilan viral / kekinian","1. Siapkan bahan bahan;2. Marinasi fillet ayam dengan bawang putih bubuk, garam, kaldu kurang 20-30 menit didalam kulkas;3. Campur bahan2 kering and basah telor kasih garam dikit.. Ambil fillet ayam balikin ke telor kemudian ke tepung.. Lakukan 2 x biar tebal sambil di cubit2 agar tepung pas di goreng crispy;4. Lakukan sampe selesai. Lebih baik masukan ke dalam freezer agar tepung lengket kurang lebih 10 menit. Kemudian keluarkan lalu di goreng sambil di siram2 biar kering and matang rata ayam nya. Dengan warna keemasan;5. Kemudian kita lanjut dengan rebus jagung and wortel yg telah dipotong kotak2;6. Buat sausnya.. Tumis bawang putih dengan mentega sampe wangi;7. Kemudian tuang kecap Inggris, kecap manis, saus tomat, kecap asin, paprika bubuk, garam,, kaldu bubuk.. Campur jd satu kemudian masak sebentar kasih air dikit masukan bawang Bombay.;8. Terakhir masukan larutan maizena sampe kentalnya dus sesuaikan aja msg2;9. Mau makan tinggal siram.. Kasih jagung and wortelnya",https://img-global.cpcdn.com/recipes/b0dbf0c2748f443f/680x781f0.5_0.5_1.0q80/steak-ayam-foto-resep-utama.webp,https://cookpad.com/id/resep/25720911,"['dada ayam', 'paprika bubuk', 'bawang bubuk', 'garam', 'tepung terigu', 'telur', 'garam', 'bawang putih', 'paprika bubuk', 'kecap inggris', 'kecap asin', 'saus tomat', 'saus cabe', 'kecap manis', 'garam', 'kaldu bubuk', 'gula', 'kaldu bubuk', 'bawang putih', 'bawang bombay', 'maizena']","['dada ayam', 'paprika bubuk', 'bawang bubuk', 'garam', 'tepung terigu', 'telur', 'garam', 'bawang putih', 'paprika bubuk', 'kecap inggris', 'kecap asin', 'saus tomat', 'saus cabe', 'kecap manis', 'garam', 'kaldu bubuk', 'gula', 'kaldu bubuk', 'bawang putih', 'bawang bombay', 'maizena']","['dada ayam', 'paprika bubuk', 'bawang bubuk', 'garam', 'tepung terigu', 'telur', 'garam', 'bawang putih', 'paprika bubuk', 'kecap inggris', 'kecap asin', 'saus tomat', 'saus cabe', 'kecap manis', 'garam', 'kaldu ayam', 'gula', 'kaldu ayam', 'bawang putih', 'bawang bombay', 'maizena']",40,"['ayam', 'makanan rumah', 'camilan viral / kekinian']","['ayam', 'makanan rumahan', 'camilan viral/kekinian']"
9,R0009,semur jengkol,"jengkol,air,daun pandan,daun salam,bawang merah,bawang putih,ketumbar,lada bubuk,bubuk kunyit,kaldu jamur,garam,gula merah,air asam jawa,kecap manis,serai,lengkuas",60,"sayur tumis,makanan rumahan","1. siapkan semua bahan;2. masukan jengkol kedalam panci presto tambahkan air, daun salam dan pandan rebus selama -+25 menit. kemudian buang kulit arinya cuci bersih tiriskan kemudian pipihkan menggunakan lesung batu lakukan sampai selesai. kemudian rendam dalam air -+semalaman, besok nya cuci kembali tiriskan.;3. haluskan bumbu kecuali daun salam, sereh dan lengkuas. tumis bumbu sampai harum dan matang, tambahkanbumbu geprek aduk lagi.;4. masukan jengkol aduk rata. masukan kecap manis, garam, kaldu jamur, gula merah dan air masak sampai bumbu meresap dan air menyusut tes rasa.;5. Alhamdulillah... Semur jengkol di nikmati dengan nasi 🍚MasyaAllah. Selamat Mencoba 😊",https://img-global.cpcdn.com/recipes/563a9a9726c23ada/680x781f0.5_0.520429_1.0q80/semur-jengkol-foto-resep-utama.webp,https://cookpad.com/id/resep/25039024,"['jengkol', 'air', 'daun pandan', 'daun salam', 'bawang merah', 'bawang putih', 'ketumbar', 'lada bubuk', 'bubuk kunyit', 'kaldu jamur', 'garam', 'gula merah', 'air asam jawa', 'kecap manis', 'serai', 'lengkuas']","['jengkol', 'air', 'daun pandan', 'daun salam', 'bawang merah', 'bawang putih', 'ketumbar', 'lada bubuk', 'bubuk kunyit', 'kaldu jamur', 'garam', 'gula merah', 'air asam jawa', 'kecap manis', 'serai', 'lengkuas']","['jengkol', 'air', 'daun pandan', 'salam', 'bawang merah', 'bawang putih', 'ketumbar', 'lada', 'kunyit', 'kaldu jamur', 'garam', 'gula merah', 'asam jawa', 'kecap manis', 'serai', 'lengkuas']",60,"['sayur tumis', 'makanan rumahan']","['sayur tumis', 'makanan rumahan']"
10,R0010,rendang nangka jengkol,"nangka,jengkol,daging ayam,bawang putih,bawang merah,fiber creme,gula pasir,garam,bumbu kaldu,air,minyak,cabai merah,bawang putih,bawang merah,serai,merica bubuk,ketumbar,kemiri,jahe,lengkuas,jinten,pala",70,"sayur tumis,makanan rumahan","1. Iris dan bersihkan nangka muda kemudian rebus hingga matang cuci bersih tiriskan;2. Bersihkan ayam, siapkan jengkol yang sudah direbus, iris duo bawang, blend bumbu halus;3 .Goreng geprekan bawang putih hingga berbau harum, masukkan irisan bawang merah kemudian masukkan bumbu yang sudah dihaluskan;4. Setelah matang dan mengeluarkan minyak masukkan daging ayam aduk"";5. Beri garam dan bumbu kaldu secukupnya kemudian masukkan air biarkan proses memasak dan daging menjadi lunak;6. Setelah mendidih masukkan jengkol tutup kembali beli gula pasir;7. Setelah kuah agak menyusut masukkan santan instan aduk agar tidak pecah;8. Tes rasa terakhir masukkan Fiber Creme aduk sebentar matikan kompor,.., Sajikan....",https://img-global.cpcdn.com/recipes/27a11da0a4b5bc55/300x426f0.5_0.5_1.0q80/rendang-nangka-jengkol-foto-resep-utama.webp,https://cookpad.com/id/resep/25473513,"['nangka', 'jengkol', 'daging ayam', 'bawang putih', 'bawang merah', 'fiber creme', 'gula pasir', 'garam', 'bumbu kaldu', 'air', 'minyak', 'cabai merah', 'bawang putih', 'bawang merah', 'serai', 'merica bubuk', 'ketumbar', 'kemiri', 'jahe', 'lengkuas', 'jinten', 'pala']","['nangka', 'jengkol', 'daging ayam', 'bawang putih', 'bawang merah', 'fiber creme', 'gula pasir', 'garam', 'bumbu kaldu', 'air', 'minyak', 'cabai merah', 'bawang putih', 'bawang merah', 'serai', 'merica bubuk', 'ketumbar', 'kemiri', 'jahe', 'lengkuas', 'jinten', 'pala']","['nangka', 'jengkol', 'daging ayam', 'bawang putih', 'bawang merah', 'fiber creme', 'gula pasir', 'garam', 'bumbu kaldu', 'air', 'minyak', 'cabai merah', 'bawang putih', 'bawang merah', 'serai', 'merica', 'ketumbar', 'kemiri', 'jahe', 'lengkuas', 'jinten', 'pala']",70,"['sayur tumis', 'makanan rumahan']","['sayur tumis', 'makanan rumahan']"
